"geocodigo","demanda_total","n_personas"
"13103071004",104705081.720653,3983
"13103071005",90012743.7151123,3367
"13103081001",97111074.9895129,3629
"13103081002",105293159.261995,3921
"13103081003",148312139.296144,5538
"13103091001",84793310.103185,3220
"13103091002",68394818.0230009,2443
"13103091003",171730934.113907,6245
"13103091004",117163861.062506,4153
"13103091005",156985813.241278,4787
"13103991999",5492788.51098331,238
"13104011001",78099223.8911397,3345
"13104011002",83800827.1126808,3641
"13104011003",50515587.9275515,2198
"13104021001",39481051.2397714,1854
"13104021002",100616511.064586,3891
"13104021003",91277418.5894065,4123
"13104021004",84842892.271495,3955
"13104031001",97028663.8401691,4466
"13104031002",88668419.5000335,4251
"13104031003",62312615.0479089,2818
"13104031004",54775559.6168086,2443
"13104031005",61978050.7126792,2970
"13104041001",64784445.275998,3032
"13104041002",80886692.6463508,3800
"13104041003",59437379.1327742,2820
"13104041004",61510691.9403726,2809
"13104051001",66981715.0609584,2915
"13104051002",96453845.3904912,3938
"13104051003",62787051.1500219,2927
"13104051004",74645021.7791079,3357
"13104051005",81229286.0723794,3267
"13104051006",144221664.311074,5058
"13104061001",82433778.6721926,3281
"13104061002",86279507.4807042,3408
"13104061003",61463598.8011587,2968
"13104071001",357022.731106834,21
"13104071002",81282300.4227034,3713
"13104071003",29388040.9679545,1354
"13104071004",34670615.3622426,1555
"13104081001",54060551.0140903,2523
"13104081002",78816251.9561665,3675
"13104081003",59416303.4206153,2835
"13104081004",95964272.4283559,4235
"13104091001",137299134.599815,5014
"13104091002",79008844.1882134,3387
"13104091003",94416172.4755233,3958
"13104101001",68138514.4629909,3151
"13104101002",93986352.7296269,4168
"13104101003",84152944.3025649,3640
"13104991999",2394030.92118381,191
"13105011001",57952053.069172,2854
"13105011002",121760800.755125,5693
"13105011003",17475586.2458393,558
"13105011004",73373515.9197129,3509
"13105011005",151422430.416905,7068
"13105021001",69386947.5189515,3649
"13105021002",98838367.3479032,4691
"13105021003",76183058.1463782,3340
"13105031001",85986975.2737112,3667
"13105031002",37877308.3396639,1778
"13105041001",71692851.019027,3439
"13105041002",103183790.219116,5028
"13105051001",54998107.553602,2565
"13105051002",55086683.1855246,2875
"13105051003",86245426.0188315,4041
"13105051004",79958811.1835905,4141
"13105051005",77763852.3853851,3952
"13105061001",84491845.4366914,4261
"13105061002",77554261.5382147,3974
"13105061003",91502238.8145011,4680
"13105061004",99005985.705451,5261
"13105061005",99621546.9046675,5152
"13105071001",95382240.9292764,4529
"13105071002",96281127.4623871,4305
"13105071003",76147216.867508,3905
"13105071004",93569894.4040462,4599
"13105071005",78081944.8006659,3660
"13105081001",56560621.1008424,2717
"13105081002",75742382.9784239,3641
"13105081003",112878375.143336,4682
"13105081004",107227515.377762,5448
"13105081005",99908702.3616756,4953
"13105091001",78559448.3738444,3933
"13105091002",119744274.799916,5413
"13105091003",85340121.9928602,4350
"13105091004",64059635.6060004,3037
"13105101001",108420549.959202,5089
"13105101002",136213224.672759,6360
"13105101003",121201050.456916,5570
"13105991999",2894451.01313236,138
"13106011001",52177157.41629,1654
"13106021001",67537997.5488899,1757
"13106021002",58432046.2764571,1744
"13106031001",92531848.441849,2982
"13106031002",61772121.2587891,2157
"13106031003",72042550.6057657,2516
"13106041001",182432361.830656,5733
"13106041002",189978946.417071,6011
"13106051001",107521314.142286,3143
"13106051002",59897207.8742754,1870
"13106051003",89081490.5200217,2695
"13106061001",59307850.0605466,1773
"13106061002",159247416.056568,4844
"13106061003",113478072.613515,3496
"13106061004",45050291.8326754,1574
"13106071001",84524268.2184327,2622
"13106071002",159617199.814274,4819
"13106071003",168597416.180392,5651
"13106081001",139526681.945896,3204
"13106081002",86167734.6144472,2371
"13106081003",190168674.970339,4125
"13106081004",86012750.958691,2204
"13106081005",245157718.913141,4832
"13106081006",111654543.408984,2125
"13106091001",98697080.5601482,2748
"13106091002",88856698.3939637,2623
"13106101001",186714174.720863,3877
"13106101002",174667759.773006,3136
"13106101003",237948414.788368,5029
"13106101004",191160188.584837,4755
"13106101005",203222986.413726,3389
"13106111001",47742460.8039137,1471
"13106111002",186410467.148802,3226
"13106111003",100904357.944166,2768
"13106111004",112370795.564486,2882
"13106121001",142809208.623691,3413
"13106121002",118622637.398758,2852
"13106131001",106118813.609433,2176
"13106131002",239867958.985971,4678
"13106131003",157109074.248983,4580
"13106131004",69021584.2908013,1428
"13106141001",148385583.768107,4739
"13106141002",154329261.418165,5111
"13106991999",252399551.550417,6258
"13107011001",192253299.296434,3300
"13107011002",197943317.808122,3349
"13107011003",507453965.767928,5508
"13107011004",331364073.187634,5040
"13107011005",458795104.767622,5552
"13107011006",403588054.814466,5095
"13107011007",406398026.698696,4458
"13107011008",630342321.334998,7046
"13107011009",264328057.199621,5170
"13107011010",578765523.007386,6345
"13107021001",165516537.769181,3445
"13107021002",263020908.639164,5376
"13107021003",338510029.755636,7070
"13107022001",2098845.28001486,76
"13107031001",194582313.405307,3982
"13107031002",291818259.546645,5832
"13107031003",18540870.7297274,223
"13107032901",3492638.71595595,66
"13107041001",186193850.711931,3861
"13107041002",169858707.627862,3203
"13107041003",314427474.023697,6377
"13107051001",342031874.589882,3518
"13107061001",233523779.922521,4708
"13107991999",1463668.85683842,71
"13108011001",84782957.948573,3204
"13108011002",75111267.6263986,2596
"13108011003",194224092.896328,5784
"13108011004",191993196.998227,5181
"13108011005",200502712.38279,6231
"13108021001",67608303.2242466,2658
